,filename,not_hard_hat,hard_hat,target
0,000001_jpg.rf.df25c3d751ae509dc90ba56fd301f1b0.jpg,0,1,0
1,000002_jpg.rf.31f2cd35d1b9aaa764f7a0836591d3c3.jpg,0,1,0
2,000003_jpg.rf.51b126505df000f6bbf6b965aac0f62e.jpg,0,1,0
3,000004_jpg.rf.7cd7b3740fa78e99c877ce71a36949c3.jpg,1,0,1
4,000005_jpg.rf.ec6c3148d49dc4a53436ba014c4e6938.jpg,0,1,0
5,000006_jpg.rf.67f9e25e69985fca1ebe415b1f4dfdb5.jpg,1,0,1
6,000007_jpg.rf.144157e581cf4c36a1287ba88eb12d54.jpg,0,1,0
7,000008_jpg.rf.ee13f076cf1899a9129507d5e56718f8.jpg,1,1,2
8,000009_jpg.rf.9a173193e5e0256092be17ca53df09e4.jpg,0,1,0
9,000010_jpg.rf.e4bd168a9c2344e569cbc839f49967a4.jpg,0,1,0
10,000011_jpg.rf.0deccc7aa6db8d9491709ffd7ef0f880.jpg,1,1,2
11,000012_jpg.rf.834defa565497913bc9305208b0e212b.jpg,0,1,0
12,000013_jpg.rf.8ef8b7161c252abac97e7722d11e942e.jpg,0,1,0
13,000014_jpg.rf.a876d523cc6bf412b79238954d18ce28.jpg,0,1,0
14,000015_jpg.rf.0c0cedbd11befb87888bc8887dca5a52.jpg,0,1,0
15,000016_jpg.rf.48148594e56e1e56e0c8f2c35f919daa.jpg,0,1,0
16,000017_jpg.rf.61cc2c329f5708da1085381fcfc7f926.jpg,0,1,0
17,000018_jpg.rf.355735099fcd9c0c85f385df7b89e80f.jpg,0,1,0
18,000019_jpg.rf.5331107c69f1692d0fdd384033a5681a.jpg,1,0,1
19,000020_jpg.rf.679813eb0ea33e14bcc2d80c0d8d6414.jpg,0,1,0
20,000021_jpg.rf.fdc55ecd2faffc17938e897515db461f.jpg,0,1,0
21,000022_jpg.rf.2a635c301afe1e6307492e6b8290ba36.jpg,0,1,0
22,000023_jpg.rf.8973c5f53b053f1932167407b4928803.jpg,1,1,2
23,000024_jpg.rf.fc6155dbd1378d9c5ced8ae8cabd6181.jpg,1,1,2
24,000025_jpg.rf.06b26bf3e7b9adec9f5ac5ab7ea0c8a7.jpg,0,1,0
25,000026_jpg.rf.367b53e0d536a17e60fd91d19ad4eed9.jpg,0,1,0
26,000027_jpg.rf.0d54cec1fe37f76ba82e4b35443cf9e5.jpg,0,1,0
